Area,AspectRatio,Diameter,MeanGrey,StageX,StageY,O,Mgx,Alx,Si,S,Cax,Ti,Mn,Fe,Mg,Al,Ca
2.025109,1.170465,1.605755,73.64773,1.679705,0.42896,29.57218,1.280945,21.32811,0.2090854,0.07613414,14.64413,0,9.857839,23.03158,0.043530833,0.654746015,0.301723151
0.115063,1.116652,0.3827568,126.6,1.8305,0.48192,12.03174,4.455357,9.600985,0.2169563,0,0.000167837,0.05680122,9.120743,64.51725,0.339366114,0.660626135,7.75E-06
0.1841008,1.374369,0.4841533,91.875,1.742698,0.44152,18.36551,6.041844,12.97863,0.2768317,0.0288131,0,0,6.153025,56.15535,0.340078378,0.659921622,0
2.347285,1.540833,1.728773,78.17647,1.918816,0.49106,26.3271,1.547038,18.76548,0.2798481,1.333055,12.29586,0,9.891466,29.56016,0.059607886,0.65315523,0.287236885
0.1610882,1.498117,0.4528839,108,2.184544,0.4736,10.19393,3.871722,7.024406,0.2354254,1.559881,0,0,9.250343,67.8643,0.378941992,0.621058008,0
0.1380756,1.273153,0.419289,106,2.329043,0.50108,11.69851,3.701029,7.634469,0.2412551,0,0.06145029,0,7.472578,69.19071,0.3480095,0.64848725,0.00350325
1.67992,1.201823,1.462512,76.13699,2.352122,0.40484,20.16551,1.84591,14.46306,0.2981559,1.856977,8.629513,0,8.085224,44.65565,0.091640187,0.648618941,0.259740872
0.2071134,1.483369,0.5135221,95,2.560104,0.40514,15.57339,5.224943,11.40154,0.3753449,0.1133717,0.006354652,0,8.808321,58.49673,0.336478141,0.663273748,0.000248111
0.1841008,2.21416,0.4841533,131.75,2.631009,0.47744,12.6772,4.218726,8.458717,0.2181219,0,0,0.06768747,9.515961,64.84358,0.355714299,0.644285701,0
1.035567,1.228908,1.14827,70.22222,2.732119,0.45227,20.49536,3.554029,16.8807,0.3257585,0.3495708,5.742907,0.1124449,9.098757,43.44048,0.159480847,0.684277109,0.156242044
0.115063,1.79391,0.3827568,118.8,2.862469,0.51711,15.24804,4.530568,10.44867,0.01569782,0.2308754,0.07632641,0,6.083694,63.36613,0.323251687,0.673446583,0.00330173
0.1380756,1.789502,0.419289,85.33334,2.87233,0.46581,15.58982,5.806095,10.89325,0.01476733,0,0.3333647,0.4389683,6.551961,60.37177,0.366347948,0.620899186,0.012752866
1.910046,1.16615,1.55947,77.25301,2.849556,0.4592,26.06309,1.557191,18.99003,0.168086,0.606187,11.34335,0.2749245,9.526823,31.47032,0.060853722,0.670385954,0.268760324
0.09205039,1.581146,0.3423481,114.25,2.835867,0.44711,10.30573,3.486935,6.917649,0.04296675,0,0.1273961,0.1051864,9.809742,69.2044,0.355331001,0.636798107,0.007870892
0.9205039,1.218002,1.0826,80.725,0.223866,0.59344,24.76408,1.501952,17.01084,0.3238737,0.477943,10.25613,0.4235424,5.131341,40.11029,0.065056787,0.665604591,0.269338622
0.09205039,1.57336,0.3423481,134.25,0.201235,0.5841,7.933579,2.786306,5.818518,0.08219621,0.3808846,0.2746432,0,8.944512,73.77937,0.339422861,0.640292855,0.020284284
0.2761512,1.118027,0.5929642,100.3333,0.354538,0.56181,17.50067,5.588687,10.54441,0.1916528,0,0,0,0,66.17458,0.369770487,0.630229513,0
